iter	Passed	Remaining
229	1348	4514
230	1353	4506
231	1358	4496
232	1362	4486
233	1368	4478
234	1372	4468
235	1376	4457
236	1383	4452
237	1387	4442
238	1391	4431
239	1397	4426
240	1402	4415
241	1406	4405
242	1411	4397
243	1416	4387
244	1420	4377
245	1424	4367
246	1430	4361
247	1435	4351
248	1439	4341
249	1443	4331
250	1448	4323
251	1453	4313
252	1457	4304
253	1463	4297
254	1467	4288
255	1472	4279
256	1477	4271
257	1482	4262
258	1486	4253
259	1491	4244
260	1496	4237
261	1500	4227
262	1505	4218
263	1510	4210
264	1514	4201
265	1520	4195
266	1525	4188
267	1530	4180
268	1535	4173
269	1541	4167
270	1547	4162
271	1554	4159
272	1560	4155
273	1567	4152
274	1572	4145
275	1579	4142
276	1585	4137
277	1590	4130
278	1596	4124
279	1601	4118
280	1607	4113
281	1612	4106
282	1617	4097
283	1621	4088
284	1627	4083
285	1632	4074
286	1636	4065
287	1641	4059
288	1647	4052
289	1651	4043
290	1655	4034
291	1661	4028
292	1666	4020
293	1670	4011
294	1676	4006
295	1680	3998
296	1685	3989
297	1690	3982
298	1695	3974
299	1699	3965
300	1704	3957
301	1709	3951
302	1713	3942
303	1718	3934
304	1723	3927
305	1728	3919
306	1732	3911
307	1737	3903
308	1742	3896
309	1746	3887
310	1751	3880
311	1756	3872
312	1761	3865
313	1765	3857
314	1770	3849
315	1775	3842
316	1779	3834
317	1784	3827
318	1789	3820
319	1793	3812
320	1798	3804
321	1803	3797
322	1807	3789
323	1812	3781
324	1817	3775
325	1822	3767
326	1826	3760
327	1832	3753
328	1836	3746
329	1841	3738
330	1845	3730
331	1851	3725
332	1855	3717
333	1860	3709
334	1865	3703
335	1870	3695
336	1874	3687
337	1878	3679
338	1884	3674
339	1888	3666
340	1893	3658
341	1898	3652
342	1902	3645
343	1907	3637
344	1911	3629
345	1918	3625
346	1922	3617
347	1927	3610
348	1932	3605
349	1937	3597
350	1941	3590
351	1947	3584
352	1951	3577
353	1956	3569
354	1960	3562
355	1966	3557
356	1970	3549
357	1975	3542
358	1980	3536
359	1985	3529
360	1990	3523
361	1994	3516
362	2000	3509
363	2004	3502
364	2009	3495
365	2014	3489
366	2018	3481
367	2023	3475
368	2028	3468
369	2032	3461
370	2038	3455
371	2043	3449
372	2049	3444
373	2055	3439
374	2059	3432
375	2065	3427
376	2070	3421
377	2074	3413
378	2079	3407
379	2084	3401
380	2089	3393
381	2093	3387
382	2098	3381
383	2103	3374
384	2107	3366
385	2113	3362
386	2118	3355
387	2122	3347
388	2127	3341
389	2132	3334
390	2136	3327
391	2140	3320
392	2146	3315
393	2151	3308
394	2156	3302
395	2162	3298
396	2167	3291
397	2171	3284
398	2176	3278
399	2181	3271
400	2185	3264
401	2189	3257
402	2195	3251
403	2199	3245
404	2203	3237
405	2209	3232
406	2213	3225
407	2218	3218
408	2222	3211
409	2228	3207
410	2234	3201
411	2238	3195
412	2244	3189
413	2248	3183
414	2254	3177
415	2261	3174
416	2266	3169
417	2271	3163
418	2277	3157
419	2281	3151
420	2286	3144
421	2291	3138
422	2296	3131
423	2301	3125
424	2305	3119
425	2311	3114
426	2316	3108
427	2321	3101
428	2326	3096
429	2331	3090
430	2335	3083
431	2341	3078
432	2346	3072
433	2350	3065
434	2355	3059
435	2361	3054
436	2365	3047
437	2370	3040
438	2376	3037
439	2381	3030
440	2385	3023
441	2391	3019
442	2396	3012
443	2400	3005
444	2405	2999
445	2410	2993
446	2414	2987
447	2419	2980
448	2424	2975
449	2429	2969
450	2434	2962
451	2439	2957
452	2443	2950
453	2448	2944
454	2453	2938
455	2459	2933
456	2463	2927
457	2468	2920
458	2473	2915
459	2478	2909
460	2482	2902
461	2486	2895
462	2493	2892
463	2498	2885
464	2502	2879
465	2508	2874
466	2512	2867
467	2516	2861
468	2522	2855
469	2527	2849
470	2531	2842
471	2536	2836
472	2541	2831
473	2545	2825
474	2550	2819
475	2557	2814
476	2561	2808
477	2566	2802
478	2570	2796
479	2575	2790
480	2579	2783
481	2584	2777
482	2590	2772
483	2594	2766
484	2599	2760
485	2605	2755
486	2611	2750
487	2616	2745
488	2621	2739
489	2626	2733
490	2631	2728
491	2636	2722
492	2641	2716
493	2645	2710
494	2650	2703
495	2655	2698
496	2660	2692
497	2664	2686
498	2669	2680
499	2674	2674
500	2678	2668
501	2683	2661
502	2688	2656
503	2694	2651
504	2698	2645
505	2704	2640
506	2709	2634
507	2713	2628
508	2718	2622
509	2723	2616
510	2727	2610
511	2732	2604
512	2737	2598
513	2744	2594
514	2752	2592
515	2759	2588
516	2768	2586
517	2775	2582
518	2783	2579
519	2792	2578
520	2801	2575
521	2807	2570
522	2814	2567
523	2822	2564
524	2829	2559
525	2837	2557
526	2846	2554
527	2853	2551
528	2860	2546
529	2867	2543
530	2875	2539
531	2883	2536
532	2889	2531
533	2896	2527
534	2903	2523
535	2910	2519
536	2918	2516
537	2924	2511
538	2929	2505
539	2935	2500
540	2939	2494
541	2943	2487
542	2949	2482
543	2953	2476
544	2958	2469
545	2963	2463
546	2968	2458
547	2972	2451
548	2977	2446
549	2983	2440
550	2987	2434
551	2992	2428
552	2997	2422
553	3001	2416
554	3006	2410
555	3011	2404
556	3016	2399
557	3021	2393
558	3026	2387
559	3032	2382
560	3036	2376
561	3041	2370
562	3047	2365
563	3053	2360
564	3057	2354
565	3063	2349
566	3068	2343
567	3073	2337
568	3078	2331
569	3083	2325
570	3089	2321
571	3094	2315
572	3098	2309
573	3103	2303
574	3108	2297
575	3112	2291
576	3117	2285
577	3122	2279
578	3127	2273
579	3132	2268
580	3137	2262
581	3142	2256
582	3146	2250
583	3151	2244
584	3156	2239
585	3160	2233
586	3165	2227
587	3170	2221
588	3175	2215
589	3180	2209
590	3184	2203
591	3189	2198
592	3194	2192
593	3198	2186
594	3204	2180
595	3208	2174
596	3214	2169
597	3220	2165
598	3225	2159
599	3231	2154
600	3237	2149
601	3243	2144
602	3249	2139
603	3256	2134
604	3261	2129
605	3269	2125
606	3275	2120
607	3283	2117
608	3290	2112
609	3296	2107
610	3303	2103
611	3309	2098
612	3316	2093
613	3322	2089
614	3328	2083
615	3335	2079
616	3341	2074
617	3347	2069
618	3355	2065
619	3360	2059
620	3366	2054
621	3372	2049
622	3377	2043
623	3383	2038
624	3387	2032
625	3392	2026
626	3396	2020
627	3402	2015
628	3406	2009
629	3411	2003
630	3416	1997
631	3420	1991
632	3425	1986
633	3430	1980
634	3435	1974
635	3440	1969
636	3444	1963
637	3450	1957
638	3455	1952
639	3460	1946
640	3465	1941
641	3470	1935
642	3475	1929
643	3479	1923
644	3485	1918
645	3490	1912
646	3494	1906
647	3501	1901
648	3505	1895
649	3510	1890
650	3515	1884
651	3519	1878
652	3524	1872
653	3528	1866
654	3533	1861
655	3538	1855
656	3542	1849
657	3548	1844
658	3552	1838
659	3556	1832
660	3561	1826
661	3567	1821
662	3573	1816
663	3580	1811
664	3585	1806
665	3592	1801
666	3599	1796
667	3605	1791
668	3613	1787
669	3619	1782
670	3625	1777
671	3631	1772
672	3635	1766
673	3640	1760
674	3645	1755
675	3650	1749
676	3655	1743
677	3659	1738
678	3664	1732
679	3669	1726
680	3673	1720
681	3678	1715
682	3683	1709
683	3688	1703
684	3692	1698
685	3697	1692
686	3702	1686
687	3706	1681
688	3712	1675
689	3717	1670
690	3721	1664
691	3727	1658
692	3732	1653
693	3736	1647
694	3741	1641
695	3746	1636
696	3751	1630
697	3755	1624
698	3760	1619
699	3765	1613
700	3769	1608
701	3774	1602
702	3779	1596
703	3784	1591
704	3788	1585
705	3794	1580
706	3799	1574
707	3803	1568
708	3807	1562
709	3812	1557
710	3816	1551
711	3821	1545
712	3827	1540
713	3831	1534
714	3836	1529
715	3840	1523
716	3845	1517
717	3849	1511
718	3854	1506
719	3859	1501
720	3864	1495
721	3868	1489
722	3874	1484
723	3879	1478
724	3883	1473
725	3888	1467
726	3893	1462
727	3898	1456
728	3902	1450
729	3907	1445
730	3912	1439
731	3916	1433
732	3920	1428
733	3926	1422
734	3930	1417
735	3935	1411
736	3940	1406
737	3944	1400
738	3949	1394
739	3953	1389
740	3959	1383
741	3963	1378
742	3968	1372
743	3973	1367
744	3978	1361
745	3982	1356
746	3986	1350
747	3992	1345
748	3997	1339
749	4001	1333
750	4007	1328
751	4012	1323
752	4016	1317
753	4022	1312
754	4027	1306
755	4031	1301
756	4035	1295
757	4041	1290
758	4045	1284
759	4050	1279
760	4055	1273
761	4060	1268
762	4064	1262
763	4069	1256
764	4074	1251
765	4078	1246
766	4083	1240
767	4088	1235
768	4093	1229
769	4097	1223
770	4102	1218
771	4107	1213
772	4111	1207
773	4116	1202
774	4122	1196
775	4126	1191
776	4131	1185
777	4136	1180
778	4140	1174
779	4145	1169
780	4149	1163
781	4155	1158
782	4159	1152
783	4164	1147
784	4169	1141
785	4174	1136
786	4178	1130
787	4182	1125
788	4188	1120
789	4193	1114
790	4198	1109
791	4203	1103
792	4207	1098
793	4213	1093
794	4218	1087
795	4223	1082
796	4227	1076
797	4232	1071
798	4237	1066
799	4242	1060
800	4246	1055
801	4252	1049
802	4257	1044
803	4262	1039
804	4268	1033
805	4273	1028
806	4278	1023
807	4283	1017
808	4288	1012
809	4293	1007
810	4297	1001
811	4303	996
812	4307	990
813	4311	985
814	4316	979
815	4321	974
816	4326	969
817	4330	963
818	4336	958
819	4341	952
820	4345	947
821	4351	942
822	4356	936
823	4360	931
824	4365	925
825	4371	920
826	4375	915
827	4379	909
828	4385	904
829	4389	899
830	4394	893
831	4398	888
832	4403	882
833	4407	877
834	4413	872
835	4418	866
836	4423	861
837	4429	856
838	4433	850
839	4438	845
840	4443	840
841	4448	834
842	4452	829
843	4457	823
844	4462	818
845	4467	813
846	4471	807
847	4477	802
848	4482	797
849	4486	791
850	4491	786
851	4496	781
852	4500	775
853	4505	770
854	4510	764
855	4515	759
856	4519	754
857	4524	748
858	4529	743
859	4534	738
860	4538	732
861	4545	727
862	4549	722
863	4553	716
864	4559	711
865	4564	706
866	4568	700
867	4574	695
868	4578	690
869	4583	684
870	4587	679
871	4593	674
872	4597	668
873	4602	663
874	4607	658
875	4612	652
876	4616	647
877	4622	642
878	4628	637
879	4633	631
880	4637	626
881	4643	621
882	4647	615
883	4652	610
884	4657	605
885	4662	599
886	4667	594
887	4673	589
888	4677	584
889	4682	578
890	4687	573
891	4692	568
892	4697	562
893	4701	557
894	4706	552
895	4711	546
896	4716	541
897	4720	536
898	4725	530
899	4730	525
900	4734	520
901	4740	515
902	4745	509
903	4749	504
904	4754	499
905	4759	493
906	4763	488
907	4767	483
908	4773	477
909	4777	472
910	4782	467
911	4786	461
912	4791	456
913	4796	451
914	4800	445
915	4807	440
916	4811	435
917	4816	430
918	4821	425
919	4826	419
920	4830	414
921	4835	409
922	4840	403
923	4845	398
924	4849	393
925	4855	388
926	4859	382
927	4864	377
928	4869	372
929	4874	366
930	4878	361
931	4883	356
932	4888	351
933	4892	345
934	4897	340
935	4902	335
936	4907	329
937	4912	324
938	4916	319
939	4921	314
940	4926	308
941	4931	303
942	4936	298
943	4940	293
944	4945	287
945	4950	282
946	4955	277
947	4960	272
948	4965	266
949	4970	261
950	4975	256
951	4980	251
952	4985	245
953	4990	240
954	4995	235
955	5000	230
956	5004	224
957	5009	219
958	5013	214
959	5019	209
960	5024	203
961	5028	198
962	5034	193
963	5039	188
964	5043	182
965	5048	177
966	5054	172
967	5058	167
968	5063	161
969	5069	156
970	5074	151
971	5078	146
972	5084	141
973	5088	135
974	5093	130
975	5099	125
976	5103	120
977	5108	114
978	5113	109
979	5118	104
980	5123	99
981	5127	93
982	5132	88
983	5137	83
984	5141	78
985	5146	73
986	5151	67
987	5156	62
988	5161	57
989	5166	52
990	5171	46
991	5175	41
992	5181	36
993	5185	31
994	5190	26
995	5194	20
996	5200	15
997	5205	10
998	5210	5
999	5216	0
