iter	Logloss
0	0.681156514
1	0.6701805293
2	0.6586411533
3	0.6477663659
4	0.6388648136
5	0.6309839692
6	0.6231492511
7	0.6133848758
8	0.6053102848
9	0.5985956583
10	0.5921476577
11	0.5842500068
12	0.5776395636
13	0.5694868472
14	0.5639374519
15	0.5553695486
16	0.5478638712
17	0.542165112
18	0.5376266907
19	0.5330923504
20	0.5289659421
21	0.5205780696
22	0.5170399186
23	0.513352465
24	0.5087336654
25	0.5014133328
26	0.4978315596
27	0.4933430083
28	0.4874180231
29	0.4832365997
30	0.4804623429
31	0.4763826537
32	0.4723353381
33	0.4693917536
34	0.4660213017
35	0.463085111
36	0.459847966
37	0.4571075407
38	0.453941194
39	0.4493177682
40	0.4449331099
41	0.4417899953
42	0.4389900391
43	0.4343549723
44	0.430433816
45	0.4278729806
46	0.4251394818
47	0.4212667332
48	0.4178811917
49	0.4153692267
50	0.4131785441
51	0.4111507701
52	0.4090768672
53	0.4076702181
54	0.404494303
55	0.401406675
56	0.3989299824
57	0.3973975439
58	0.3955335098
59	0.3932590812
60	0.3902476576
61	0.3885671445
62	0.3871631834
63	0.3856737149
64	0.384249051
65	0.3828341495
66	0.3796733961
67	0.3777399779
68	0.375531051
69	0.3739871801
70	0.3720569444
71	0.3692049396
72	0.3668083586
73	0.3649677102
74	0.3634004946
75	0.3624277411
76	0.3609789337
77	0.3596421595
78	0.3589004124
79	0.3570304664
80	0.3562285968
81	0.3535054377
82	0.3526155011
83	0.3510158543
84	0.3502537699
85	0.3487025709
86	0.3463639419
87	0.3447143083
88	0.3425886604
89	0.3407324815
90	0.3390463125
91	0.3382635012
92	0.336115221
93	0.3341590535
94	0.3329001957
95	0.3317095686
96	0.3305178795
97	0.3290639113
98	0.3284117957
99	0.3273888745
100	0.3264936101
101	0.3252049917
102	0.3240156666
103	0.3231510059
104	0.3225390717
105	0.321690723
106	0.3206938343
107	0.3193405866
108	0.3177065945
109	0.3156238321
110	0.3146779903
111	0.3138815068
112	0.3132466729
113	0.3122690191
114	0.3111795249
115	0.3097175164
116	0.3086988784
117	0.3066070705
118	0.3057561853
119	0.3046234815
120	0.303803375
121	0.3031487746
122	0.302471661
123	0.3013713971
124	0.29977409
125	0.298925258
126	0.2979690614
127	0.2973082133
128	0.2957049723
129	0.2951005704
130	0.2938588664
131	0.2929958243
132	0.2922008832
133	0.2905071464
134	0.2891724066
135	0.2884292712
136	0.2872907898
137	0.2861939373
138	0.2852767058
139	0.2841621223
140	0.2832554907
141	0.2826769975
142	0.2817582989
143	0.2807741069
144	0.279715634
145	0.2788422903
146	0.2779597893
147	0.2772477382
148	0.2760938862
149	0.2748463087
150	0.27408693
151	0.2727776341
152	0.2713527197
153	0.270301737
154	0.2693186006
155	0.2686113958
156	0.2675543108
157	0.2668248137
158	0.266217928
159	0.2656778033
160	0.2647847146
161	0.2635213922
162	0.2630792056
163	0.2619461372
164	0.2611748367
165	0.2605604108
166	0.2598390057
167	0.2591950672
168	0.2578245734
169	0.2568248643
170	0.2563098733
171	0.2552836163
172	0.2542599898
173	0.2532238617
174	0.2517857228
175	0.2512628147
176	0.2502828608
177	0.2492482237
178	0.2482444045
179	0.2473021612
180	0.2464484217
181	0.2454853424
182	0.2450389145
183	0.2438942506
184	0.2433419562
185	0.2429791732
186	0.2422059697
187	0.2417189218
188	0.2412177621
189	0.2407114732
190	0.2402901203
191	0.2399245654
192	0.2388813634
193	0.237586598
194	0.2372179658
195	0.2367442254
196	0.2358076645
197	0.2347124222
198	0.2338787644
199	0.2335019048
200	0.2328327198
201	0.2320880816
202	0.2317255245
203	0.2312865062
204	0.2306900727
205	0.2301283859
206	0.2289234449
207	0.228235843
208	0.2274669015
209	0.2269026653
210	0.2258108938
211	0.2252856154
212	0.2249100517
213	0.2241661502
214	0.2232844946
215	0.2225943271
216	0.2220734016
217	0.2217489833
218	0.2210585246
219	0.2205508725
220	0.2194777249
221	0.2183632797
222	0.2180351262
223	0.2177548894
224	0.2174909501
225	0.2167692829
226	0.2164280835
227	0.2158448273
228	0.2149859916
229	0.2141875763
230	0.2132891906
231	0.2125520402
232	0.2119481244
233	0.2115803682
234	0.2110295969
235	0.210609515
236	0.2101683474
237	0.2094704158
238	0.2087180802
239	0.2083575568
240	0.2077845102
241	0.2073727999
242	0.2070280952
243	0.2068165162
244	0.2064670799
245	0.2059221119
246	0.2052878856
247	0.204586662
